技能,數量
HTML,330
jQuery,233
ASP.NET,205
JAVA,201
MS SQL,198
C#.NET,191
PHP,190
MySQL,182
CSS,170
Dreamweaver,117
AJAX,116
LINUX,94
Oracle,92
Flash,80
JSP,69
XML,63
VB.NET,57
ASP,53
DHTML,48
JavaScript,38
Python,33
HTTP,31
Visual C++,24
Tomcat,22
Visual basic,20
Struts,20
Access,17
Obj-C,17
Hibernate,16
OOP,15
UML,14
VB Script,14
FrontPage,12
Unity,9
Servlets,9
DB2,8
Swift,8
Flex,8
Fireworks,7
Delphi,7
VBA,6
Oracle Forms,4
Ruby On Rails,4
ActionScript,4
Dbase,4
Perl,3
MongoDB,3
PowerBuilder,3
Systems Administration,3
Shell Script,3
Informix,3
MFC,3
R語言,2
LotusNotes,2
Cobol,2
CGI,2
Systems Analysis,2
BCB,2
Visual Foxpro,2
FoxPro,1
Assembly,1
Clipper,1
