技能,數量
MS SQL,219
JAVA,121
ASP.NET,118
C#.NET,115
MySQL,115
Oracle,107
LINUX,85
HTML,85
jQuery,82
PHP,71
VB.NET,46
AJAX,43
CSS,36
JSP,35
ASP,31
XML,30
Visual basic,29
Visual C++,20
Python,19
Access,18
JavaScript,16
Struts,13
VB Script,11
Tomcat,11
DHTML,11
Hibernate,10
Flash,8
OOP,7
DB2,7
Dreamweaver,7
FrontPage,7
HTTP,6
Obj-C,6
Servlets,6
MongoDB,6
Flex,6
Delphi,5
PowerBuilder,5
Systems Administration,5
R語言,5
Informix,5
Perl,4
LabVIEW,4
Shell Script,4
Systems Analysis,4
Swift,4
Dbase,4
BCB,3
FoxPro,3
Fireworks,3
SPSS,3
VBA,2
UML,2
MFC,2
Matlab,2
Unity,2
SyBase,2
FileMaker,2
CGI,1
LotusNotes,1
Pascal,1
Ruby On Rails,1
MCU,1
Oracle Forms,1
Visual Foxpro,1
