技能,數量
MS SQL,249
JAVA,232
ASP.NET,182
LINUX,178
C#.NET,168
HTML,156
MySQL,144
Oracle,143
jQuery,110
PHP,102
JSP,65
CSS,64
AJAX,64
VB.NET,58
Python,55
ASP,48
XML,46
Visual basic,40
JavaScript,31
HTTP,31
Access,30
Visual C++,27
Struts,23
Dreamweaver,20
Tomcat,19
DHTML,18
Delphi,18
VB Script,17
Obj-C,17
Hibernate,16
DB2,15
Flash,14
UML,13
Perl,13
Servlets,12
Swift,11
FrontPage,11
Shell Script,11
Fireworks,9
OOP,9
Oracle Forms,8
Dbase,8
VBA,8
Assembly,7
Matlab,7
PowerBuilder,6
Informix,6
MongoDB,6
R語言,5
RPG,5
Systems Administration,4
MCU,4
Cobol,4
Systems Analysis,4
FileMaker,3
LotusNotes,3
Flex,3
Unity,3
Visual Foxpro,2
Ruby On Rails,2
FoxPro,2
MFC,2
CGI,2
ActionScript,2
BCB,2
WML,1
Clipper,1
LabVIEW,1
