技能,數量
JAVA,287
C#.NET,225
MS SQL,205
LINUX,181
HTML,162
ASP.NET,155
MySQL,134
jQuery,119
PHP,108
Visual C++,90
Oracle,84
VB.NET,75
CSS,69
AJAX,67
Python,64
JSP,54
XML,53
Visual basic,51
HTTP,35
Obj-C,30
ASP,27
Assembly,27
MCU,23
MFC,22
LabVIEW,21
Struts,19
Flash,19
Dreamweaver,18
Swift,18
DHTML,17
JavaScript,17
VB Script,16
Delphi,16
Tomcat,16
Perl,16
Access,16
Hibernate,15
BCB,14
Matlab,13
OOP,12
Servlets,12
UML,9
Shell Script,9
VBA,8
Flex,8
Unity,7
MongoDB,7
Systems Analysis,6
DB2,6
ActionScript,5
FrontPage,5
Fireworks,5
LotusNotes,4
RPG,4
Cobol,3
Dbase,3
FoxPro,3
PowerBuilder,3
Oracle Forms,2
Visual Foxpro,2
Informix,2
Systems Administration,2
FileMaker,1
R語言,1
Ruby On Rails,1
