技能,數量
HTML,25
JAVA,24
MS SQL,22
Python,21
LINUX,19
MySQL,16
jQuery,13
ASP.NET,11
PHP,11
Oracle,11
R語言,10
C#.NET,9
Dreamweaver,9
CSS,8
JSP,7
AJAX,7
Matlab,6
XML,5
Obj-C,4
Tomcat,4
Access,4
SPSS,4
VB.NET,3
Shell Script,3
VBA,3
JavaScript,2
VB Script,2
Visual C++,2
Hibernate,2
Servlets,2
Swift,2
DB2,2
DHTML,2
Flash,2
Delphi,1
Fortran,1
Pascal,1
Visual basic,1
MCU,1
Oracle Forms,1
Systems Analysis,1
Struts,1
Dbase,1
ActionScript,1
ASP,0
Assembly,0
BCB,0
C／C++,0
CGI,0
Clipper,0
Cobol,0
Cold Fusion,0
LotusNotes,0
Perl,0
PowerBuilder,0
RPG,0
WML,0
LabVIEW,0
Ruby／Qt,0
Ruby On Rails,0
PL／SQL,0
UML,0
MFC,0
HTTP,0
OOP,0
DDK,0
Systems Administration,0
Unity,0
FoxPro,0
Informix,0
SyBase,0
Visual Foxpro,0
FileMaker,0
MongoDB,0
Fireworks,0
FrontPage,0
GoLive,0
MapInfo,0
NetObjects Fusion,0
Flex,0
