技能,數量
MS SQL,16
Oracle,7
MySQL,6
ASP.NET,5
C#.NET,5
LINUX,4
JAVA,3
JSP,3
VB.NET,3
XML,2
PHP,2
SyBase,2
HTML,2
Shell Script,1
VBA,1
AJAX,1
Hibernate,1
Struts,1
R語言,1
Access,1
MongoDB,1
CSS,1
ASP,0
Assembly,0
BCB,0
C／C++,0
CGI,0
Clipper,0
Cobol,0
Cold Fusion,0
Delphi,0
Fortran,0
JavaScript,0
LotusNotes,0
Pascal,0
Perl,0
PowerBuilder,0
RPG,0
Visual basic,0
VB Script,0
Visual C++,0
WML,0
LabVIEW,0
Ruby／Qt,0
Ruby On Rails,0
PL／SQL,0
UML,0
MFC,0
HTTP,0
Python,0
Matlab,0
Obj-C,0
OOP,0
DDK,0
MCU,0
Oracle Forms,0
Systems Analysis,0
Systems Administration,0
Servlets,0
Tomcat,0
jQuery,0
Swift,0
Unity,0
DB2,0
Dbase,0
FoxPro,0
Informix,0
Visual Foxpro,0
FileMaker,0
DHTML,0
Dreamweaver,0
Flash,0
Fireworks,0
FrontPage,0
GoLive,0
MapInfo,0
NetObjects Fusion,0
ActionScript,0
Flex,0
