技能,數量
MS SQL,56
LINUX,32
ASP.NET,31
C#.NET,31
JAVA,29
HTML,28
Oracle,25
MySQL,24
PHP,19
Access,17
Visual basic,12
jQuery,11
Dreamweaver,11
FrontPage,10
VB.NET,9
Flash,9
JSP,7
CSS,7
VB Script,6
ASP,5
Python,5
Dbase,5
DHTML,5
VBA,4
AJAX,4
Struts,4
Delphi,3
JavaScript,3
XML,3
Shell Script,3
HTTP,3
Tomcat,3
BCB,2
Obj-C,2
Systems Analysis,2
Servlets,2
R語言,2
DB2,2
Fireworks,2
LotusNotes,1
Visual C++,1
MFC,1
Oracle Forms,1
Systems Administration,1
Hibernate,1
Swift,1
FoxPro,1
Informix,1
ActionScript,1
SPSS,1
Assembly,0
C／C++,0
CGI,0
Clipper,0
Cobol,0
Cold Fusion,0
Fortran,0
Pascal,0
Perl,0
PowerBuilder,0
RPG,0
WML,0
LabVIEW,0
Ruby／Qt,0
Ruby On Rails,0
PL／SQL,0
UML,0
Matlab,0
OOP,0
DDK,0
MCU,0
Unity,0
SyBase,0
Visual Foxpro,0
FileMaker,0
MongoDB,0
GoLive,0
MapInfo,0
NetObjects Fusion,0
Flex,0
