技能,數量
C#.NET,17
JAVA,14
HTML,9
ASP.NET,8
MS SQL,7
LINUX,7
VB.NET,6
MySQL,6
Visual C++,5
Visual basic,4
PHP,4
Python,4
Struts,3
jQuery,3
JSP,2
XML,2
VBA,2
HTTP,2
Flash,2
CSS,2
ASP,1
BCB,1
Delphi,1
JavaScript,1
VB Script,1
UML,1
MFC,1
MCU,1
MongoDB,1
DHTML,1
Dreamweaver,1
Flex,1
Assembly,0
C／C++,0
CGI,0
Clipper,0
Cobol,0
Cold Fusion,0
Fortran,0
LotusNotes,0
Pascal,0
Perl,0
PowerBuilder,0
RPG,0
WML,0
LabVIEW,0
Ruby／Qt,0
Ruby On Rails,0
PL／SQL,0
Shell Script,0
AJAX,0
Matlab,0
Obj-C,0
OOP,0
DDK,0
Oracle Forms,0
Systems Analysis,0
Systems Administration,0
Hibernate,0
Servlets,0
Tomcat,0
R語言,0
Swift,0
Unity,0
Access,0
DB2,0
Dbase,0
FoxPro,0
Informix,0
Oracle,0
SyBase,0
Visual Foxpro,0
FileMaker,0
Fireworks,0
FrontPage,0
GoLive,0
MapInfo,0
NetObjects Fusion,0
ActionScript,0
SPSS,0
